COUNTY,ST,COUNTY_STATE,SSACD,COUNTY DESIGNA-TION,Primary Care Distance
Miller,GA,"Miller, GA",11741,Rural,30
Mitchell,GA,"Mitchell, GA",11750,Rural,30
Monroe,GA,"Monroe, GA",11760,Micro,20
Montgomery,GA,"Montgomery, GA",11770,Rural,30
Morgan,GA,"Morgan, GA",11771,Micro,20
Murray,GA,"Murray, GA",11772,Micro,20
Muscogee,GA,"Muscogee, GA",11780,Metro,10
Newton,GA,"Newton, GA",11790,Metro,10
Oconee,GA,"Oconee, GA",11800,Micro,20
Oglethorpe,GA,"Oglethorpe, GA",11801,Rural,30
Paulding,GA,"Paulding, GA",11810,Metro,10
Peach,GA,"Peach, GA",11811,Micro,20
Pickens,GA,"Pickens, GA",11812,Micro,20
Pierce,GA,"Pierce, GA",11820,Micro,20
Pike,GA,"Pike, GA",11821,Micro,20
Polk,GA,"Polk, GA",11830,Micro,20
Pulaski,GA,"Pulaski, GA",11831,Rural,30
Putnam,GA,"Putnam, GA",11832,Micro,20
Quitman,GA,"Quitman, GA",11833,Rural,30
Rabun,GA,"Rabun, GA",11834,Rural,30
Randolph,GA,"Randolph, GA",11835,Rural,30
Richmond,GA,"Richmond, GA",11840,Metro,10
