ZCTA,policeviolence_harmonicmean_pop,policeviolence_harmonicmean_black
2828,9.47E-07,6.54E-06
2830,9.47E-07,6.54E-06
2831,7.52E-07,6.27E-06
2832,0,0
2833,0,0
2835,2.41E-06,0
2836,0,0
2837,2.41E-06,0
2838,9.47E-07,6.54E-06
2839,9.47E-07,6.54E-06
2840,2.41E-06,0
2841,2.41E-06,0
2842,2.41E-06,0
2852,0,0
2857,9.47E-07,6.54E-06
2858,9.47E-07,6.54E-06
2859,9.47E-07,6.54E-06
2860,2.28E-06,1.26E-05
2861,2.91E-06,2.35E-05
2863,9.47E-07,6.54E-06
2864,9.47E-07,6.54E-06
2865,9.47E-07,6.54E-06
2871,2.41E-06,0
2872,2.41E-06,0
2873,0,0
2874,0,0
2875,0,0
2876,9.47E-07,6.54E-06
2878,6.14E-06,0
2879,0,0
2881,0,0
2882,0,0
2885,0,0
2886,0,0
2888,0,0
2889,0,0
2891,0,0
2892,0,0
2893,0,0
2894,0,0
2895,9.47E-07,6.54E-06
2896,9.47E-07,6.54E-06
2898,0,0
2903,3.29E-06,6.54E-06
2904,9.47E-07,6.54E-06
2905,9.47E-07,6.54E-06
2906,9.47E-07,6.54E-06
2907,9.47E-07,6.54E-06
2908,9.47E-07,6.54E-06
2909,9.47E-07,6.54E-06
2910,9.47E-07,6.54E-06
2911,9.47E-07,6.54E-06
2912,9.47E-07,6.54E-06
2914,9.47E-07,6.54E-06
2915,9.47E-07,6.54E-06
2916,9.47E-07,6.54E-06
2917,9.47E-07,6.54E-06
2919,9.47E-07,6.54E-06
2920,9.47E-07,6.54E-06
2921,9.47E-07,6.54E-06
3031,1.47E-06,0
3032,3.30E-06,0
3033,1.47E-06,0
3034,3.30E-06,0
3036,3.30E-06,0
3037,3.30E-06,0
3038,4.96E-06,0
3042,9.88E-06,0
3043,1.47E-06,0
3044,3.30E-06,0
3045,1.47E-06,0
3046,1.47E-08,0
3047,1.47E-06,0
3048,1.47E-06,0
3049,1.47E-06,0
3051,1.47E-06,0
3052,1.47E-06,0
3053,3.30E-06,0
3054,3.75E-06,0
3055,1.47E-06,0
3057,1.47E-06,0
3060,1.47E-06,0
3062,1.47E-06,0
3063,1.47E-06,0
3064,1.47E-06,0
