zcta,adult_population,presidential_votes,voter_percent_of_population
36305,12072,7852,0.650430749
36310,5221,3208,0.614441678
36311,2028,1510,0.744575937
36312,4892,3143,0.642477514
36313,167,160,0.958083832
36314,356,313,0.879213483
36316,1701,970,0.570252792
36317,455,266,0.584615385
36318,1065,664,0.623474178
36319,1718,1210,0.704307334
36320,2920,1764,0.604109589
36321,1320,755,0.571969697
36322,6867,3227,0.469928644
36323,6505,3596,0.552805534
36330,27723,14750,0.532049201
36340,4403,2331,0.529411765
36343,1061,742,0.699340245
36344,4478,2766,0.617686467
36345,6558,4483,0.683592559
36346,1082,757,0.699630314
36350,4784,3067,0.641095318
36351,2774,1727,0.622566691
36352,4310,2789,0.647099768
36353,1372,1142,0.832361516
36360,15037,8511,0.566003857
36362,3571,304,0.085130216
36370,710,503,0.708450704
36371,598,370,0.618729097
36373,428,315,0.735981308
36374,667,586,0.87856072
36375,5543,3605,0.650369836
36376,1736,1025,0.590437788
36401,6120,3797,0.620424837
36420,8292,4734,0.570911722
36421,7410,4557,0.614979757
36425,832,490,0.588942308
36426,11943,7272,0.608892238
36432,1714,1279,0.746207701
36435,284,216,0.76056338
36436,311,292,0.938906752
36439,321,269,0.838006231
36441,2798,1714,0.612580415
36442,2649,1536,0.57984145
36444,629,331,0.526232114
36445,3532,2355,0.666761042
36446,339,270,0.796460177
36451,3322,2556,0.769416014
36453,2020,1072,0.530693069
36454,8,27,1
36455,213,195,0.915492958
36456,1074,943,0.878026071
36460,7898,4633,0.586604204
36467,7621,4550,0.59703451
36470,51,44,0.862745098
36471,733,698,0.952251023
36473,93,51,0.548387097
36474,2175,1384,0.636321839
36475,1803,1125,0.623960067
36476,16,21,1
36477,2862,2215,0.773934312
36480,1368,1001,0.731725146
36481,353,214,0.606232295
36482,869,617,0.710011507
36483,386,264,0.683937824
36502,14223,6912,0.485973423
36505,1134,799,0.704585538
36507,16572,8755,0.528300748
36509,1661,660,0.397350993
36511,221,482,1
36512,39,22,0.564102564
36513,326,254,0.779141104
36518,2218,1323,0.596483318
36521,4672,2803,0.599957192
36522,5293,3412,0.644624976
36523,2258,1222,0.541186891
36524,989,631,0.6380182
36525,1326,1044,0.787330317
36526,25471,16982,0.666719014
36527,11267,8005,0.710481938
36528,1207,1208,1
36529,162,257,1
36530,5244,4163,0.793859649
36532,26470,19897,0.751681148
36535,26798,13560,0.506007911
36538,328,192,0.585365854
36539,551,428,0.77676951
36540,564,369,0.654255319
36541,11048,7131,0.645456191
36542,12077,8627,0.71433303
36543,69,12,0.173913043
36544,8949,4441,0.496256565
36545,7522,4998,0.664450944
36548,808,600,0.742574257
36549,4944,2724,0.550970874
36550,179,136,0.759776536
36551,7667,4624,0.603104213
36553,2159,1626,0.753126447
36555,741,333,0.449392713
36556,351,145,0.413105413
36558,2863,2151,0.751309815
36559,194,129,0.664948454
36560,2668,1508,0.565217391
36561,6057,5608,0.925870893
36562,1078,829,0.769016698
36564,91,122,1
36567,10365,6383,0.615822479
36568,92,66,0.717391304
36569,496,463,0.933467742
36571,11494,7798,0.678440926
36572,4782,4096,0.856545379
36574,960,757,0.788541667
36575,15525,8973,0.577971014
36576,3453,2336,0.676513177
36578,1092,1212,1
36579,966,962,0.995859213
36580,4399,2959,0.672652876
36581,221,116,0.524886878
36582,17481,11043,0.631714433
36583,605,324,0.53553719
36584,657,427,0.649923896
36585,826,504,0.610169492
36587,8067,5287,0.655386141
36590,0,8,1
36602,932,395,0.423819742
36603,7917,2851,0.360111153
36604,7428,3888,0.523424879
36605,20691,10682,0.51626311
36606,14189,7298,0.514342096
36607,5149,2955,0.573897844
36608,28698,17077,0.595058889
36609,18843,9546,0.506607228
36610,8055,4754,0.590192427
36611,3822,2590,0.677655678
36612,3096,1830,0.591085271
36613,10215,5844,0.572099853
36615,0,130,1
36616,8,11,1
36617,10367,5515,0.531976464
36618,13253,7937,0.598883272
36619,12050,6020,0.499585062
36688,233,282,1
36693,15553,9069,0.583102938
36695,38629,23170,0.599808434
36701,15427,9876,0.640176314
36703,9866,5220,0.529089803
36720,667,460,0.689655172
36722,377,245,0.649867374
36723,193,151,0.78238342
36726,3453,2429,0.703446279
36727,12,30,1
36728,184,272,1
36732,5849,4144,0.708497179
36736,947,659,0.695881732
36738,612,552,0.901960784
36740,1060,730,0.688679245
36742,1702,1350,0.793184489
36744,4944,3378,0.683252427
36748,2030,1591,0.783743842
36749,831,515,0.619735259
36750,1877,1537,0.818859883
36751,456,492,1
36752,950,1139,1
36753,8,33,1
36754,473,208,0.4397463
36756,4699,2765,0.588423069
36758,1084,733,0.676199262
36759,1376,742,0.539244186
36761,629,588,0.93481717
36763,176,70,0.397727273
36765,1243,740,0.59533387
36766,22,18,0.818181818
36767,1198,934,0.779632721
36768,817,550,0.673194614
36769,1879,1477,0.786056413
36773,299,224,0.74916388
36775,749,423,0.564753004
36776,1461,772,0.528405202
36782,1960,1394,0.71122449
36783,628,487,0.775477707
36784,5625,3972,0.706133333
36785,874,626,0.71624714
36786,1794,1852,1
36790,89,76,0.853932584
36792,1009,503,0.49851338
36793,250,286,1
36801,19346,11844,0.61221958
36804,14242,10001,0.702218789
36830,30691,15454,0.503535238
36832,21016,11222,0.533974115
36849,4159,1374,0.330367877
36850,2137,1497,0.70051474
36852,2121,1157,0.545497407
36853,6587,4816,0.731137088
36854,11400,6567,0.576052632
36855,1327,791,0.596081387
36856,5333,2085,0.390961935
36858,277,280,1
36859,16,21,1
36860,1448,905,0.625
36861,2601,1781,0.68473664
36862,4711,3227,0.684992571
36863,9492,5147,0.542246102
36865,30,13,0.433333333
36866,2956,2002,0.677266576
36867,16888,8492,0.502842255
36869,15646,7047,0.450402659
36870,14715,7095,0.48216106
