"STCNTY","Num_Alt_Services","Num_Mainstream_Services","Financial_Accessibility_County"
"51005",0,1,1
"51071",0,3,3
"51690",3,1,-2
"51750",0,3,3
"51775",6,8,2
"51520",3,2,-1
"51169",0,2,2
"51191",8,5,-3
"51195",3,2,-1
"51027",0,2,2
"51051",0,3,3
"51105",0,2,2
"51167",0,1,1
"51173",4,1,-3
"51720",0,1,1
"51077",0,3,3
"51197",6,1,-5
"51185",11,2,-9
"51640",0,1,1
"51790",6,2,-4
"51017",0,0,-1791
"51091",0,0,-1791
"51530",0,1,1
"51580",0,1,1
"51678",0,2,2
"51680",28,10,-18
"51590",20,9,-11
"54047",0,1,1
"54055",18,3,-15
"54109",0,2,2
"54059",0,1,1
"54025",11,1,-10
"54063",0,1,1
"54089",0,1,1
"54075",0,3,3
"54019",3,4,1
"54005",0,0,-1791
"54039",35,23,-12
"54043",0,0,-1791
"54087",0,3,3
"54081",14,6,-8
"54079",3,7,4
"54015",0,2,2
"54045",6,2,-4
"54067",3,1,-2
"54007",0,2,2
"54053",0,3,3
"54035",3,1,-2
"54013",0,1,1
"54105",0,0,-1791
"54021",0,1,1
"54003",23,6,-17
"54065",0,3,3
"54027",0,3,3
"54011",22,20,-2
"54099",3,4,1
"54009",4,2,-2
"54051",4,4,0
"54069",9,8,-1
"54029",5,4,-1
"54103",0,1,1
"54107",14,10,-4
"54073",0,3,3
"54085",0,1,1
"54095",0,2,2
"54001",0,1,1
"54041",0,1,1
"54097",0,1,1
"54101",0,1,1
"54083",0,3,3
"54093",0,1,1
"54077",0,3,3
"54033",10,13,3
"54017",0,0,-1791
"54091",0,1,1
"54049",4,9,5
"54061",11,7,-4
"54023",0,1,1
"54057",0,5,5
"54031",0,1,1
"54071",0,2,2
"37059",5,5,0
"37171",20,6,-14
"37067",101,42,-59
"37169",0,2,2
"37197",3,2,-1
"37057",28,4,-24
"37097",33,6,-27
"37159",30,6,-24
"37193",19,2,-17
"37157",31,5,-26
"37001",31,11,-20
"37151",23,7,-16
"37037",3,3,0
"37125",9,2,-7
"37123",3,4,1
"37033",0,2,2
"37081",153,52,-101
"37153",15,3,-12
"37135",12,9,-3
"37145",10,3,-7
"37063",64,27,-37
