"ZCTA","third_spaces_total","population","thirdspaces_pop"
"04048",6,3074,195.185426154847
"04049",0,3807,0
"04050",0,282,0
"04051",6,1246,481.540930979133
"04055",19,3925,484.076433121019
"04056",0,249,0
"04057",0,92,0
"04061",0,3025,0
"04062",76,18821,403.804261197598
"04063",0,431,0
"04064",68,8521,798.028400422486
"04066",0,678,0
"04068",0,1329,0
"04069",3,1549,193.673337637185
"04071",17,5211,326.232968720015
"04072",85,19716,431.121931426253
"04073",75,16623,451.182097094387
"04074",148,20376,726.344719277581
"04076",3,2772,108.225108225108
"04079",5,4022,124.316260566882
"04083",12,4529,264.959152130713
"04084",10,7231,138.293458719403
"04085",0,2888,0
"04086",42,8888,472.547254725473
"04087",7,2692,260.029717682021
"04088",0,1311,0
"04090",70,10530,664.767331433998
"04091",0,810,0
"04092",91,18935,480.591497227357
"04093",18,8289,217.155266015201
"04095",0,1341,0
"04096",66,8567,770.39803898681
"04097",9,3839,234.436051054962
"04101",495,18179,2722.9220529182
"04102",107,16968,630.598774163131
"04103",177,30628,577.902572809194
"04105",74,11968,618.31550802139
