"ZCTA","policeviolence_harmonicmean_pop","policeviolence_harmonicmean_black"
"02918",1.52209206775619e-06,0
"02919",9.37218883967286e-07,3.26355310377114e-06
"02920",9.37218883967286e-07,3.26355310377114e-06
"02921",9.37218883967286e-07,3.26355310377114e-06
"03031",9.57259208121325e-07,0
"03032",1.96564081578369e-06,0
"03033",9.57259208121325e-07,0
"03034",1.96564081578369e-06,0
"03036",1.96564081578369e-06,0
"03037",1.96564081578369e-06,0
"03038",1.96564081578369e-06,0
"03042",6.18158356497525e-06,0
"03043",9.57259208121325e-07,0
"03044",1.96564081578369e-06,0
"03045",9.57259208121325e-07,0
"03046",1.33644587287838e-06,0
"03047",9.57259208121325e-07,0
"03048",9.57259208121325e-07,0
"03049",9.57259208121325e-07,0
"03051",9.57259208121325e-07,0
"03052",9.57259208121325e-07,0
"03053",1.96564081578369e-06,0
"03054",9.57259208121325e-07,0
"03055",9.57259208121325e-07,0
"03057",9.57259208121325e-07,0
"03060",9.57259208121325e-07,0
"03062",9.57259208121325e-07,0
"03063",9.57259208121325e-07,0
"03064",9.57259208121325e-07,0
"03070",9.57259208121325e-07,0
"03071",9.57259208121325e-07,0
"03076",9.57259208121325e-07,0
"03077",1.96564081578369e-06,0
"03079",1.96564081578369e-06,0
"03082",9.57259208121325e-07,0
"03084",9.57259208121325e-07,0
"03086",9.57259208121325e-07,0
"03087",1.96564081578369e-06,0
"03101",9.57259208121325e-07,0
"03102",9.57259208121325e-07,0
"03103",3.12882215925314e-06,0
"03104",1.37955583397775e-06,0
"03106",1.33644587287838e-06,0
"03109",3.3279223227189e-06,0
"03110",9.57259208121325e-07,0
"03215",4.44560100102632e-06,0
"03216",1.33644587287838e-06,0
"03217",4.44560100102632e-06,0
"03218",6.61940954628421e-06,0
"03220",8.61072974831758e-06,0
"03221",1.33644587287838e-06,0
"03222",4.44560100102632e-06,0
"03223",4.44560100102632e-06,0
"03224",1.33644587287838e-06,0
"03225",6.61940954628421e-06,0
"03226",3.67429366450639e-06,0
"03227",0,0
"03229",1.33644587287838e-06,0
"03230",1.33644587287838e-06,0
"03231",1.33644587287838e-06,0
"03233",1.33644587287838e-06,0
"03234",1.33644587287838e-06,0
"03235",1.33644587287838e-06,0
"03237",6.61940954628421e-06,0
"03238",4.44560100102632e-06,0
"03240",4.44560100102632e-06,0
"03241",4.44560100102632e-06,0
"03242",1.33644587287838e-06,0
"03243",2.49543491695859e-06,0
"03244",1.30554153262734e-06,0
"03245",4.44560100102632e-06,0
"03246",6.61940954628421e-06,0
"03249",6.61940954628421e-06,0
"03251",4.44560100102632e-06,0
"03253",1.61932255874143e-05,0
"03254",3.67429366450639e-06,0
"03255",1.33644587287838e-06,0
"03256",6.61940954628421e-06,0
"03257",2.06673088565657e-06,0
"03258",1.33644587287838e-06,0
"03259",0,0
"03260",1.33644587287838e-06,0
"03261",1.75829434677192e-06,0
"03262",4.44560100102632e-06,0
"03263",4.93983116409044e-06,0
"03264",4.44560100102632e-06,0
"03266",4.44560100102632e-06,0
"03268",1.33644587287838e-06,0
"03269",6.61940954628421e-06,0
"03273",1.33644587287838e-06,0
"03275",1.33644587287838e-06,0
"03276",2.83722793190744e-06,0
"03278",1.33644587287838e-06,0
"03279",4.44560100102632e-06,0
"03280",1.6765494452293e-06,0
"03281",9.57259208121325e-07,0
"03282",4.44560100102632e-06,0
"03284",4.62170352070869e-06,0
"03285",1.5286051830437e-05,0
"03287",1.33644587287838e-06,0
"03290",1.96564081578369e-06,0
