"ZCTA","Post.Office.Name","State","mortality_allcausemortalityrate_pop"
"85704","Tucson","AZ",0.00666735473632812
"85705","Tucson","AZ",0.00647975158691406
"85706","Tucson","AZ",0.00629158996582031
"85707","Tucson","AZ",0.0069571728515625
"85708","Tucson","AZ",0.00639615417480469
"85710","Tucson","AZ",0.00663573547363281
"85711","Tucson","AZ",0.00656438781738281
"85712","Tucson","AZ",0.00670988037109375
"85713","Tucson","AZ",0.00638236877441406
"85714","Tucson","AZ",0.00628335510253906
"85715","Tucson","AZ",0.00678564758300781
"85716","Tucson","AZ",0.006678896484375
"85718","Tucson","AZ",0.00674059936523437
"85719","Tucson","AZ",0.00657498107910156
"85723","Tucson","AZ",0
"85724","Tucson","AZ",0
"85726","Tucson","AZ",0
"85730","Tucson","AZ",0.00656605834960937
"85735","Tucson","AZ",0.00641865539550781
"85736","Tucson","AZ",0.00664768371582031
"85737","Tucson","AZ",0.00671755798339844
"85739","Catalina","AZ",0.00622568420410156
"85741","Tucson","AZ",0.00645560668945312
"85742","Cortaro","AZ",0.00663030029296875
"85743","Tucson","AZ",0.00657869201660156
"85745","Tucson","AZ",0.00645728454589844
"85746","Tucson","AZ",0.00634910522460938
"85747","Tucson","AZ",0.00653056884765625
"85748","Tucson","AZ",0.00662250610351563
"85749","Tucson","AZ",0.00673117492675781
"85750","Tucson","AZ",0.00676130004882813
"85755","Tucson","AZ",0.00682089599609375
"85756","Tucson","AZ",0.00634695190429688
"85757","Tucson","AZ",0.00643351928710937
"85901","Show Low","AZ",0.00683002319335937
"85911","Cibecue","AZ",0.00946241333007813
"85912","White Mountain Lake","AZ",0.00672506652832031
"85920","Alpine","AZ",0.00812976623535156
"85922","Blue","AZ",0.00648188232421875
"85923","Clay Springs","AZ",0.00675319396972656
"85924","Concho","AZ",0.00802371826171875
